Date,Ticker,State,Action,Entry_Price,Exit_Price,Shares
438,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1365.5999755859375,1391.199951171875,14
439,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1391.199951171875,1373.699951171875,14
440,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1373.699951171875,1370.5,14
441,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1370.5,1353.199951171875,14
444,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1275.5,1290.0999755859375,15
445,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1290.0999755859375,1289.0999755859375,15
459,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1267.0999755859375,1220.800048828125,15
460,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1220.800048828125,1255.9000244140625,16
461,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1255.9000244140625,1256.800048828125,15
462,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1256.800048828125,1278.300048828125,15
463,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1278.300048828125,1279.0999755859375,15
464,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1279.0999755859375,1269.699951171875,15
470,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1339.4000244140625,1346.199951171875,14
471,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1346.199951171875,1331.5999755859375,14
480,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1268.5999755859375,1240.5999755859375,15
481,INFY.NS,SIDEWAYS_NEAR_P50,SELL,1240.5999755859375,1154.5999755859375,16
