Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Datetime,,,,,
2026-03-13 09:45:00+00:00,1248.300048828125,1252.300048828125,1243.300048828125,1248.0,810470
2026-03-16 03:45:00+00:00,1242.9000244140625,1253.5999755859375,1236.5,1245.800048828125,359196
2026-03-16 04:00:00+00:00,1240.4000244140625,1244.0,1238.699951171875,1243.199951171875,262611
2026-03-16 04:15:00+00:00,1237.4000244140625,1243.0999755859375,1237.0999755859375,1240.5,215096
2026-03-16 04:30:00+00:00,1238.0999755859375,1239.699951171875,1236.300048828125,1237.0,182261
2026-03-16 04:45:00+00:00,1228.800048828125,1238.0,1228.0999755859375,1238.0,302449
2026-03-16 05:00:00+00:00,1231.9000244140625,1232.800048828125,1228.5,1228.9000244140625,229243
2026-03-16 05:15:00+00:00,1230.0,1232.9000244140625,1226.199951171875,1231.9000244140625,206739
2026-03-16 05:30:00+00:00,1229.9000244140625,1231.0999755859375,1225.5999755859375,1230.0,374804
2026-03-16 05:45:00+00:00,1230.800048828125,1233.300048828125,1229.800048828125,1229.9000244140625,172558
2026-03-16 06:00:00+00:00,1227.5999755859375,1232.5999755859375,1227.5999755859375,1230.9000244140625,127780
2026-03-16 06:15:00+00:00,1225.5999755859375,1227.800048828125,1224.800048828125,1227.5999755859375,184874
2026-03-16 06:30:00+00:00,1227.5,1229.5,1225.5999755859375,1225.5999755859375,119799
2026-03-16 06:45:00+00:00,1229.0999755859375,1230.4000244140625,1227.5,1227.5,197610
2026-03-16 07:00:00+00:00,1228.0,1230.300048828125,1225.5999755859375,1229.0,294964
2026-03-16 07:15:00+00:00,1230.0,1230.0999755859375,1226.4000244140625,1228.199951171875,364616
2026-03-16 07:30:00+00:00,1230.5,1232.5,1229.199951171875,1230.0,302609
2026-03-16 07:45:00+00:00,1231.4000244140625,1235.9000244140625,1230.4000244140625,1230.4000244140625,397901
2026-03-16 08:00:00+00:00,1231.199951171875,1232.699951171875,1229.300048828125,1231.300048828125,697941
2026-03-16 08:15:00+00:00,1233.300048828125,1235.0,1231.0,1231.300048828125,386011
2026-03-16 08:30:00+00:00,1234.4000244140625,1236.199951171875,1232.0999755859375,1233.300048828125,300466
2026-03-16 08:45:00+00:00,1244.9000244140625,1246.199951171875,1232.5999755859375,1234.5,1177256
